"","X","log2FoldChange","AveExpr","t","pvalue","padj","B"
"260","PPP1CA",2.825748762,4.704420761,3.020685368,0.014731371,0.275656416,-2.779050288
"261","DNAJC7",3.283734218,3.848549909,3.020284985,0.014740849,0.275656416,-2.751959118
"262","FDPS",2.915669931,4.550267406,3.020020425,0.014747115,0.275656416,-2.772813005
"263","EEF1A1",1.999766783,11.14894583,3.019180532,0.014767026,0.275656416,-2.968238031
"264","NDUFA11",2.921475023,5.460978302,3.017579528,0.014805056,0.275656416,-2.813731493
"265","SLC25A3",2.396804854,7.272125173,3.017196349,0.014814174,0.275656416,-2.848823993
"266","CLDN5",4.092058465,5.890557456,3.014870177,0.014869646,0.276284101,-2.819469489
"267","TSR1",3.940423978,2.985292152,3.010065408,0.014984903,0.277397903,-2.758602788
"268","SLC9A1",3.973933985,2.999194063,3.008937041,0.015012104,0.277397903,-2.760240944
"269","SNAI1",3.096173737,4.020084498,3.00687842,0.01506186,0.277397903,-2.773638849
"270","MEF2D",3.191213983,4.949453515,3.005726681,0.015089772,0.277397903,-2.813003933
"271","EFNB1",3.117191682,4.652900145,3.005589026,0.015093111,0.277397903,-2.79821935
"272","ITPA",3.910302735,2.98863729,3.005131937,0.015104206,0.277397903,-2.765394982
"273","ULK3",3.888524482,2.977275555,3.001308272,0.015197343,0.278431108,-2.77056805
"274","LRRFIP1",2.731359323,5.309767301,2.997376726,0.015293726,0.278676767,-2.840268821
"275","SMPD4",3.838532594,2.949423885,2.990993593,0.015451551,0.28053395,-2.784538264
"276","BCAR1",2.923909592,4.42353021,2.987605864,0.015535994,0.280753085,-2.813573337
"277","F2RL3",3.984912467,3.028350592,2.983545643,0.015637826,0.281262065,-2.795326245
"278","EBNA1BP2",3.108690516,4.628856648,2.983116782,0.015648622,0.281262065,-2.829304041
"279","MPHOSPH10",3.841114129,2.944058827,2.982968303,0.015652362,0.281262065,-2.795520697
"280","BSDC1",2.9971173,4.167816052,2.981250499,0.015695693,0.281262065,-2.813443651
"281","MLXIP",3.841377463,2.943791353,2.980626316,0.015711468,0.281262065,-2.798735486
"282","SNX11",3.835850619,2.94171202,2.979323413,0.01574445,0.281262065,-2.800510371
"283","SLC35A4",2.898523297,4.542776063,2.977230157,0.015797588,0.281262065,-2.833639516
"284","TGFBR2",2.522502291,6.581757202,2.97687563,0.015806606,0.281262065,-2.884727463
"285","SELENBP1",3.446332574,4.40717549,2.976591653,0.015813833,0.281262065,-2.828576335
"286","TMEM255B",3.844943669,2.956240325,2.973001011,0.015905509,0.281262065,-2.809302552
"287","UBE2J2",3.184718085,3.812237463,2.972307465,0.01592328,0.281262065,-2.818390477
"288","ZDHHC7",3.070787417,4.006348291,2.971878788,0.015934274,0.281262065,-2.822350015
"289","USF1",2.837890176,4.617684077,2.969741062,0.015989216,0.28184042,-2.847956368
"290","DLL1",3.807166427,2.933494587,2.967851184,0.01603795,0.282137492,-2.81621357
"291","UBXN1",2.558650845,5.742432453,2.967366664,0.016050469,0.282137492,-2.889352048
"292","CCDC130",3.813936968,2.939392553,2.96445809,0.016125831,0.282661672,-2.820921171
"293","CTPS1",3.497423621,3.56530684,2.962788573,0.016169253,0.282661672,-2.828813746
"294","FXYD6",3.370949529,5.035511616,2.960541195,0.016227894,0.283297126,-2.882938636
"295","SSH1",2.601613572,6.296342889,2.958597372,0.016278791,0.283756788,-2.905168945
"296","TPRG1L",4.253181244,3.816700973,2.9578319,0.016298879,0.283756788,-2.83865423
"297","PCDH12",3.313051059,3.48928023,2.95413258,0.016396319,0.2841812,-2.840050953
"298","WDR37",3.79610097,2.924641489,2.953877862,0.01640305,0.2841812,-2.8353573
"299","DPP7",2.966335299,4.319315163,2.953185571,0.016421359,0.2841812,-2.858336456
"300","ARPC1B",2.701097237,6.405288396,2.953076864,0.016424236,0.2841812,-2.915389892
"301","TTL",3.311711319,3.489563556,2.949934277,0.016507627,0.2841812,-2.845883732
